"","Date","block","LeakVolume"
"512",2018-02-14,"PG_B2",1176
"513",2018-02-14,"PG_B3",144
"514",2018-02-14,"PG_B4",0
"515",2018-02-14,"PG_B5",0
"516",2018-02-15,"PG_B1",144
"517",2018-02-15,"PG_B2",1200
"518",2018-02-15,"PG_B3",24
"519",2018-02-15,"PG_B4",0
"520",2018-02-15,"PG_B5",0
"521",2018-02-16,"PG_B1",168
"522",2018-02-16,"PG_B2",1008
"523",2018-02-16,"PG_B3",0
"524",2018-02-16,"PG_B4",0
"525",2018-02-16,"PG_B5",0
"526",2018-02-17,"PG_B1",0
"527",2018-02-17,"PG_B2",984
"528",2018-02-17,"PG_B3",96
"529",2018-02-17,"PG_B4",0
"530",2018-02-17,"PG_B5",144
"531",2018-02-18,"PG_B1",24
"532",2018-02-18,"PG_B2",1344
"533",2018-02-18,"PG_B3",0
"534",2018-02-18,"PG_B4",24
"535",2018-02-18,"PG_B5",144
"536",2018-02-19,"PG_B1",24
"537",2018-02-19,"PG_B2",864
"538",2018-02-19,"PG_B3",0
"539",2018-02-19,"PG_B4",0
"540",2018-02-19,"PG_B5",0
"541",2018-02-20,"PG_B1",24
"542",2018-02-20,"PG_B2",744
"543",2018-02-20,"PG_B3",96
"544",2018-02-20,"PG_B4",0
"545",2018-02-20,"PG_B5",0
"546",2018-02-21,"PG_B1",24
"547",2018-02-21,"PG_B2",864
"548",2018-02-21,"PG_B3",0
"549",2018-02-21,"PG_B4",0
"550",2018-02-21,"PG_B5",0
"551",2018-02-22,"PG_B1",24
"552",2018-02-22,"PG_B2",864
"553",2018-02-22,"PG_B3",0
"554",2018-02-22,"PG_B4",0
"555",2018-02-22,"PG_B5",0
"556",2018-02-23,"PG_B1",24
"557",2018-02-23,"PG_B2",120
"558",2018-02-23,"PG_B3",0
"559",2018-02-23,"PG_B4",0
"560",2018-02-23,"PG_B5",48
"561",2018-02-24,"PG_B1",48
"562",2018-02-24,"PG_B2",168
"563",2018-02-24,"PG_B3",0
"564",2018-02-24,"PG_B4",0
"565",2018-02-24,"PG_B5",192
"566",2018-02-25,"PG_B1",0
"567",2018-02-25,"PG_B2",0
"568",2018-02-25,"PG_B3",24
"569",2018-02-25,"PG_B4",0
"570",2018-02-25,"PG_B5",144
"571",2018-02-26,"PG_B1",0
"572",2018-02-26,"PG_B2",120
"573",2018-02-26,"PG_B3",0
"574",2018-02-26,"PG_B4",0
"575",2018-02-26,"PG_B5",0
"576",2018-02-27,"PG_B1",0
"577",2018-02-27,"PG_B2",120
"578",2018-02-27,"PG_B3",0
"579",2018-02-27,"PG_B4",0
"580",2018-02-27,"PG_B5",0
"581",2018-02-28,"PG_B1",24
"582",2018-02-28,"PG_B2",96
"583",2018-02-28,"PG_B3",96
"584",2018-02-28,"PG_B4",0
"585",2018-02-28,"PG_B5",0
"586",2018-03-01,"PG_B1",24
"587",2018-03-01,"PG_B2",48
"588",2018-03-01,"PG_B3",96
"589",2018-03-01,"PG_B4",0
"590",2018-03-01,"PG_B5",0
"591",2018-03-02,"PG_B1",0
"592",2018-03-02,"PG_B2",96
"593",2018-03-02,"PG_B3",24
"594",2018-03-02,"PG_B4",0
"595",2018-03-02,"PG_B5",0
"596",2018-03-03,"PG_B1",0
"597",2018-03-03,"PG_B2",120
"598",2018-03-03,"PG_B3",24
"599",2018-03-03,"PG_B4",0
"600",2018-03-03,"PG_B5",144
"601",2018-03-04,"PG_B1",0
"602",2018-03-04,"PG_B2",24
"603",2018-03-04,"PG_B3",24
"604",2018-03-04,"PG_B4",0
