"","service_point_sn","id.x","min_5_flow","date","MinCons_60"
"556","3004479721",49,8,2016-09-08,9
"557","3004479721",49,8,2016-09-10,9
"558","3004479721",49,8,2016-09-13,9
"559","3004479721",49,8,2016-09-17,9
"560","3004479721",49,8,2016-09-18,11
"561","3004479721",49,8,2016-09-19,9
"562","3004479721",49,8,2016-09-20,9
"563","3004479721",49,8,2016-09-28,9
"564","3004479721",49,8,2016-09-21,9
"565","3004479721",49,8,2016-09-25,10
"566","3004479721",49,8,2016-09-26,9
"567","3004479721",49,8,2016-09-29,10
"568","3004479721",49,8,2016-09-22,9
"569","3004479721",49,8,2016-09-24,9
"570","3004479721",49,8,2016-09-30,9
"571","3004479721",49,8,2016-10-03,9
"572","3004479721",49,8,2016-10-04,9
"573","3004479721",49,8,2016-10-05,10
"574","3004479721",49,8,2016-10-06,9
"575","3004479721",49,8,2016-10-07,9
"576","3004479721",49,10,2016-10-08,9
"577","3004479721",49,8,2016-10-09,9
"578","3004479721",49,10,2016-10-10,10
"579","3004479721",49,10,2016-10-11,10
"580","3004479721",49,8,2016-10-12,10
"581","3004479721",49,10,2016-10-14,10
"582","3004479721",49,10,2016-10-15,10
"583","3004479721",49,10,2016-10-16,10
"584","3004479721",49,10,2016-10-17,10
"585","3004479721",49,10,2016-10-22,10
"586","3004479721",49,10,2016-10-23,10
"587","3004479721",49,10,2016-10-24,10
"588","3004479721",49,10,2016-10-26,10
"589","3004479721",49,10,2016-10-30,10
"590","3004479721",49,10,2016-10-31,10
"591","3004479721",49,10,2016-11-01,10
"592","3004479721",49,10,2016-11-02,10
"593","3004479721",49,10,2016-11-03,10
"594","3004479721",49,10,2016-11-05,10
"595","3004479721",49,10,2016-11-06,10
"596","3004479721",49,8,2016-11-12,10
"597","3004479721",49,10,2016-11-13,10
"598","3004479721",49,10,2016-11-15,10
"599","3004479721",49,8,2016-11-16,10
"600","3004479721",49,8,2016-11-17,9
"601","3004479721",49,8,2016-11-19,9
"602","3004479721",49,10,2016-11-20,10
"603","3004479721",49,8,2016-11-21,9
"604","3004479721",49,8,2016-11-22,10
"605","3004479721",49,8,2016-11-23,10
"606","3004479721",49,8,2016-11-24,9
"607","3004479721",49,10,2016-11-25,9
"608","3004479721",49,8,2016-11-26,10
"609","3004479721",49,8,2016-11-27,9
"610","3004479721",49,8,2016-11-28,9
"611","3004479721",49,8,2016-11-29,9
"612","3004479721",49,8,2016-11-30,9
"613","3004479721",49,8,2016-12-01,9
"614","3004479721",49,8,2016-12-03,9
"615","3004479721",49,8,2016-12-04,9
"616","3004479721",49,8,2016-12-05,10
"617","3004479721",49,8,2016-12-06,10
"618","3004479721",49,8,2016-12-07,9
"619","3004479721",49,10,2016-12-08,9
"620","3004479721",49,8,2016-12-09,10
"621","3004479721",49,8,2016-12-10,10
"622","3004479721",49,8,2016-12-11,9
"623","3004479721",49,10,2016-12-12,9
"624","3004479721",49,10,2016-12-13,9
"625","3004479721",49,10,2016-12-14,9
"626","3004479721",49,10,2016-12-15,9
"627","3004479721",49,10,2016-12-16,9
