"","id_family","pub_cust_id","created_at","is_active"
"232",318,"008921417831",2017-07-17 22:09:25,TRUE
"233",228,"008927329543",2018-03-16 15:43:50,TRUE
"234",118,"008903945387",2017-08-23 18:08:11,TRUE
"235",1763,"008933534854",2017-06-17 21:21:20,TRUE
"236",369,"008921046267",2017-06-22 12:05:52,TRUE
"237",355,"008921129287",2017-12-30 18:31:17,TRUE
"238",1806,"008935705254",2017-11-15 14:14:23,TRUE
"239",2271,"007015809706",2018-07-03 14:46:27,TRUE
"240",134,"008932012415",2017-06-12 00:25:24,TRUE
"241",409,"008923607967",2017-06-10 15:33:41,TRUE
"242",451,"008923636180",2017-06-22 09:42:57,TRUE
"243",429,"008926461610",2017-08-11 23:41:43,TRUE
"244",231,"008927304512",2017-07-24 21:55:42,TRUE
"245",280,"008927644974",2017-06-17 10:40:37,TRUE
"246",512,"008923656469",2017-06-10 11:05:46,TRUE
"247",238,"008927616261",2017-06-10 21:39:10,TRUE
"248",179,"008901938046",2017-08-20 16:05:57,TRUE
"249",288,"008927616584",2017-07-20 13:47:09,TRUE
"250",254,"008928746661",2017-06-10 14:48:50,TRUE
"251",41,"008901628654",2017-06-10 08:00:08,TRUE
"252",339,"008921444330",2017-06-10 12:26:17,TRUE
"253",1801,"008935127376",2017-10-08 22:35:07,TRUE
"254",123,"008918262547",2017-06-11 21:48:07,TRUE
"255",255,"008927338452",2017-07-03 19:05:46,TRUE
"256",232,"008927378300",2017-06-10 21:36:48,TRUE
"257",393,"008921535111",2017-06-15 14:17:40,TRUE
"258",274,"008927435845",2017-06-17 10:57:37,TRUE
"259",514,"008923904489",2017-07-04 19:34:47,TRUE
"260",5,"008904608059",2017-06-27 20:05:50,TRUE
"261",1802,"008935501679",2017-09-09 09:32:36,TRUE
"262",119,"008902709800",2017-07-03 21:58:34,TRUE
"263",382,"008921079052",2017-06-26 17:11:05,TRUE
"264",272,"008927374762",2017-08-25 23:25:08,TRUE
"265",281,"008927309131",2017-06-10 11:26:34,TRUE
"266",294,"008927309081",2017-06-10 10:54:40,TRUE
"267",216,"008927254485",2017-07-21 13:01:42,TRUE
"268",51,"008901658735",2017-08-19 13:58:37,TRUE
"269",209,"008927301468",2017-06-17 10:41:28,TRUE
"270",438,"008926280507",2017-06-10 14:33:11,TRUE
"271",375,"008921112002",2017-06-10 11:08:33,TRUE
"272",2267,"007015805301",2018-07-03 15:38:52,TRUE
"273",83,"008901634124",2017-06-17 10:11:19,TRUE
"274",271,"008927248032",2017-06-10 09:05:42,TRUE
"275",260,"008927326051",2017-06-29 11:58:43,TRUE
"276",188,"008927327885",2017-06-10 16:36:04,TRUE
"277",2278,"008904481820",2018-07-03 15:29:48,TRUE
"278",198,"008927752579",2017-06-11 08:57:33,TRUE
"279",357,"008922162030",2018-02-01 15:39:01,TRUE
"280",185,"008927680770",2017-10-17 11:32:56,TRUE
"281",143,"008903602012",2017-06-17 11:45:51,TRUE
"282",547,"008932110623",2017-06-10 10:50:59,TRUE
"283",531,"008923634185",2017-09-10 20:40:47,TRUE
"284",32,"008902466534",2017-06-27 09:07:36,TRUE
"285",27,"008902315269",2017-09-17 16:17:53,TRUE
"286",258,"008927326291",2018-01-04 07:49:04,TRUE
"287",1766,"008933940242",2017-06-10 11:41:02,TRUE
"288",56,"008913721976",2017-06-10 11:55:23,TRUE
"289",118,"008903945387",2017-06-28 19:40:20,TRUE
"290",24,"008931704640",2017-06-27 18:58:20,TRUE
"291",388,"008921147925",2017-06-22 19:14:33,TRUE
"292",287,"008927304280",2017-06-21 20:37:17,TRUE
"293",13,"008901624745",2017-06-17 15:04:14,TRUE
"294",1800,"00893527590",2017-10-10 21:00:47,TRUE
"295",123,"008918262547",2017-06-11 23:17:23,TRUE
"296",445,"008926973911",2017-07-13 16:28:45,TRUE
"297",223,"008927300635",2017-06-17 11:40:36,TRUE
"298",224,"008927503832",2018-01-03 21:47:10,TRUE
"299",76,"008929996794",2017-06-14 10:33:30,TRUE
"300",121,"008902037251",2017-11-27 13:04:02,TRUE
"301",153,"008901411804",2017-06-10 07:32:56,TRUE
"302",349,"008920844456",2017-06-10 12:04:10,TRUE
"303",1805,"008935714645",2017-09-15 21:23:23,TRUE
"304",351,"008921209774",2017-07-10 11:22:04,TRUE
"305",529,"008923574449",2017-07-11 08:53:09,TRUE
"306",55,"008930598985",2017-06-17 03:08:08,TRUE
"307",449,"008923637907",2017-06-10 18:13:02,TRUE
"308",517,"008927273063",2017-07-02 11:44:28,TRUE
"309",215,"008927297468",2017-06-17 12:03:33,TRUE
"310",129,"008928500555",2017-06-17 12:08:02,TRUE
"311",111,"008901367378",2017-06-09 18:31:43,TRUE
"312",256,"008927300510",2017-10-12 11:39:41,TRUE
"313",25,"008922996809",2017-07-13 20:01:11,TRUE
"314",300,"008927328628",2017-06-11 14:41:01,TRUE
"315",257,"008927297765",2017-06-21 01:37:34,TRUE
"316",547,"008932110623",2017-06-11 11:24:27,TRUE
"317",456,"008923630001",2017-06-10 14:13:22,TRUE
"318",506,"008923616471",2017-08-12 22:35:35,TRUE
"319",143,"008903602012",2017-06-17 11:28:44,TRUE
"320",231,"008927304512",2017-12-19 10:30:17,TRUE
"321",179,"008901938046",2017-06-10 11:10:17,TRUE
"322",222,"008928838542",2017-06-23 16:31:09,TRUE
"323",318,"008921417831",2017-06-21 10:07:53,TRUE
"324",308,"008921234566",2017-06-10 16:07:24,TRUE
"325",508,"008925515390",2017-06-10 19:48:12,TRUE
"326",529,"008923574449",2017-06-18 19:17:40,TRUE
"327",225,"008927374994",2017-08-16 14:30:40,TRUE
"328",29,"008926437305",2017-06-17 12:10:36,TRUE
"329",35,"008901658743",2017-06-17 11:49:05,TRUE
"330",439,"008923636156",2017-06-10 14:45:35,TRUE
"331",60,"008901628837",2017-06-09 21:21:12,TRUE
"332",286,"008927644776",2017-07-02 15:52:22,TRUE
"333",4,"008904506733",2017-06-11 14:46:05,TRUE
"334",131,"008901372592",2017-06-13 21:53:20,TRUE
"335",362,"008920843821",2017-06-12 20:53:20,TRUE
"336",400,"008929107699",2017-06-16 09:34:22,TRUE
"337",209,"008927301468",2017-06-12 23:22:18,TRUE
"338",230,"008928193419",2017-06-10 11:05:26,TRUE
"339",383,"008921049394",2017-06-12 17:39:33,TRUE
"340",48,"008917185368",2017-06-10 20:19:40,TRUE
"341",324,"008921082726",2017-06-17 12:09:07,TRUE
"342",176,"008928387128",2017-06-13 21:20:36,TRUE
"343",454,"008925162730",2017-06-10 15:22:46,TRUE
"344",56,"008913721976",2017-07-03 14:43:35,TRUE
"345",191,"008927298847",2017-06-17 17:49:04,TRUE
"346",193,"008927348675",2017-06-10 16:20:13,TRUE
"347",333,"008921056332",2017-06-10 14:54:01,TRUE
"348",20,"008931781309",2017-06-27 18:43:56,TRUE
"349",34,"008913460617",2017-06-16 15:47:52,TRUE
"350",91,"008901541378",2017-06-11 00:52:22,TRUE
"351",79,"008919034143",2017-06-18 11:35:50,TRUE
"352",433,"008926591655",2017-06-12 09:12:59,TRUE
"353",1770,"008934349534",2017-06-20 18:11:47,TRUE
"354",112,"008901543234",2017-06-30 01:31:15,TRUE
"355",81,"008901630585",2017-07-02 22:00:46,TRUE
"356",162,"008901388663",2017-06-10 10:42:11,TRUE
"357",330,"008931493020",2017-06-14 21:30:17,TRUE
"358",1769,"008934256457",2017-07-11 20:43:38,TRUE
"359",448,"008924047171",2017-06-17 10:35:52,TRUE
"360",414,"008924452967",2017-06-14 19:22:16,TRUE
"361",93,"008931344645",2017-08-12 16:06:45,TRUE
"362",400,"008929107699",2017-06-11 23:30:46,TRUE
"363",463,"008923848132",2017-06-14 19:26:09,TRUE
"364",440,"008924978151",2017-06-10 14:32:45,TRUE
"365",445,"008926973911",2017-06-10 16:18:12,TRUE
"366",79,"008919034143",2017-07-20 18:27:43,TRUE
"367",195,"008927486517",2017-06-13 11:10:25,TRUE
"368",315,"008921235118",2017-06-10 15:33:29,TRUE
"369",273,"008927331127",2017-06-10 11:37:42,TRUE
"370",489,"008923924719",2017-06-13 08:41:54,TRUE
"371",1770,"008934349534",2017-06-20 08:56:40,TRUE
"372",1814,"008935956659",2017-10-20 08:59:41,TRUE
"373",52,"008901678261",2017-06-15 14:30:55,TRUE
"374",376,"008921238922",2017-06-10 10:33:47,TRUE
"375",134,"008932012415",2017-06-13 09:33:18,TRUE
"376",427,"008924298410",2017-06-10 13:01:52,TRUE
