"Date","Block","IndirectMasterMeters","IndirectSubMeters","IndirectNetConsumption","IndirectNetConsumptionRate","DirectMasterMeters","DirectSubMeters","DirectNetConsumption","DirectNetConsumptionRate","TotalMasterMeters","TotalNetConsumption","TotalNetConsumptionRate"
2017-06-11,"PG_B1",297172,290548,6624,2.2,95749,93268,2481,2.6,392921,9105,2.3
2017-06-11,"PG_B2",298809,291731,7078,2.4,72313,70301,2012,2.8,371122,9090,2.4
2017-06-11,"PG_B3",254346,241266,13080,5.1,78253,72813,5440,7,332599,18520,5.6
2017-06-11,"PG_B4",203157,188316,14841,7.3,65329,64273,1056,1.6,268486,15897,5.9
2017-06-11,"PG_B5",254677,251941,2736,1.1,103893,100753,3140,3,358570,5876,1.6
2017-06-04,"PG_B1",305529,299826,5703,1.9,98933,96488,2445,2.5,404462,8148,2
2017-06-04,"PG_B2",296720,290308,6412,2.2,75293,73145,2148,2.9,372013,8560,2.3
2017-06-04,"PG_B3",235425,238312,-2887,-1.2,73053,68695,4358,6,308478,1471,0.5
2017-06-04,"PG_B4",201957,190725,11232,5.6,62558,61695,863,1.4,264515,12095,4.6
2017-06-04,"PG_B5",247960,247045,915,0.4,102211,100114,2097,2.1,350171,3012,0.9
2017-05-28,"PG_B1",303069,298282,4787,1.6,97115,94859,2256,2.3,400184,7043,1.8
2017-05-28,"PG_B2",294713,285979,8734,3,77005,74898,2107,2.7,371718,10841,2.9
2017-05-28,"PG_B3",241185,238012,3173,1.3,76255,71160,5095,6.7,317440,8268,2.6
2017-05-28,"PG_B4",199555,189972,9583,4.8,58589,57618,971,1.7,258144,10554,4.1
2017-05-28,"PG_B5",274309,269265,5044,1.8,106393,101959,4434,4.2,380702,9478,2.5
2017-05-21,"PG_B1",302225,288953,13272,4.4,97130,95383,1747,1.8,399355,15019,3.8
2017-05-21,"PG_B2",287690,281910,5780,2,75286,72887,2399,3.2,362976,8179,2.3
2017-05-21,"PG_B3",237481,235518,1963,0.8,73051,68181,4870,6.7,310532,6833,2.2
2017-05-21,"PG_B4",199553,184804,14749,7.4,61283,60602,681,1.1,260836,15430,5.9
2017-05-21,"PG_B5",269752,265247,4505,1.7,107086,104542,2544,2.4,376838,7049,1.9
2017-05-14,"PG_B1",314973,311324,3649,1.2,101197,99309,1888,1.9,416170,5537,1.3
2017-05-14,"PG_B2",291487,286403,5084,1.7,71492,69230,2262,3.2,362979,7346,2
2017-05-14,"PG_B3",247496,248157,-661,-0.3,64731,60572,4159,6.4,312227,3498,1.1
2017-05-14,"PG_B4",207957,184288,23669,11.4,56418,55710,708,1.3,264375,24377,9.2
2017-05-14,"PG_B5",271510,273351,-1841,-0.7,106613,103685,2928,2.7,378123,1087,0.3
2017-05-07,"PG_B1",316552,309200,7352,2.3,105627,101488,4139,3.9,422179,11491,2.7
2017-05-07,"PG_B2",295337,292925,2412,0.8,79254,77072,2182,2.8,374591,4594,1.2
2017-05-07,"PG_B3",246507,244138,2369,1,64731,60750,3981,6.2,311238,6350,2
2017-05-07,"PG_B4",200355,188409,11946,6,55966,55074,892,1.6,256321,12838,5
2017-05-07,"PG_B5",309039,275650,33389,10.8,104072,99755,4317,4.1,413111,37706,9.1
2017-04-30,"PG_B1",310628,303809,6819,2.2,105514,102645,2869,2.7,416142,9688,2.3
2017-04-30,"PG_B2",300885,294288,6597,2.2,74770,72727,2043,2.7,375655,8640,2.3
2017-04-30,"PG_B3",232937,238658,-5721,-2.5,80778,75635,5143,6.4,313715,-578,-0.2
2017-04-30,"PG_B4",196355,180584,15771,8,56632,55690,942,1.7,252987,16713,6.6
2017-04-30,"PG_B5",276583,266853,9730,3.5,101921,98556,3365,3.3,378504,13095,3.5
2017-04-23,"PG_B1",327648,313763,13885,4.2,151353,106677,44676,29.5,479001,58561,12.2
2017-04-23,"PG_B2",297934,287233,10701,3.6,69232,67085,2147,3.1,367166,12848,3.5
2017-04-23,"PG_B3",246591,239457,7134,2.9,69906,65080,4826,6.9,316497,11960,3.8
2017-04-23,"PG_B4",201755,190628,11127,5.5,56886,56059,827,1.5,258641,11954,4.6
2017-04-23,"PG_B5",266334,268835,-2501,-0.9,103498,101409,2089,2,369832,-412,-0.1
2017-04-16,"PG_B1",304566,301320,3246,1.1,108794,102584,6210,5.7,413360,9456,2.3
2017-04-16,"PG_B2",296695,295321,1374,0.5,76614,74387,2227,2.9,373309,3601,1
2017-04-16,"PG_B3",233932,237745,-3813,-1.6,71169,65138,6031,8.5,305101,2218,0.7
2017-04-16,"PG_B4",209560,192064,17496,8.3,55926,55268,658,1.2,265486,18154,6.8
2017-04-16,"PG_B5",278393,271165,7228,2.6,93109,91707,1402,1.5,371502,8630,2.3
2017-04-09,"PG_B1",314213,301934,12279,3.9,101329,99458,1871,1.8,415542,14150,3.4
2017-04-09,"PG_B2",294629,283078,11551,3.9,74874,72621,2253,3,369503,13804,3.7
2017-04-09,"PG_B3",235872,235957,-85,0,81629,75183,6446,7.9,317501,6361,2
2017-04-09,"PG_B4",195854,185997,9857,5,54595,53640,955,1.7,250449,10812,4.3
2017-04-09,"PG_B5",282721,278335,4386,1.6,101691,99854,1837,1.8,384412,6223,1.6
2017-04-02,"PG_B1",316546,311905,4641,1.5,101068,99025,2043,2,417614,6684,1.6
2017-04-02,"PG_B2",297808,292820,4988,1.7,70498,68082,2416,3.4,368306,7404,2
2017-04-02,"PG_B3",246497,240001,6496,2.6,73042,66633,6409,8.8,319539,12905,4
2017-04-02,"PG_B4",191255,175358,15897,8.3,57790,56967,823,1.4,249045,16720,6.7
2017-04-02,"PG_B5",279891,278142,1749,0.6,109203,107364,1839,1.7,389094,3588,0.9
2017-03-26,"PG_B1",311255,310362,893,0.3,105599,103428,2171,2.1,416854,3064,0.7
2017-03-26,"PG_B2",300121,289366,10755,3.6,79482,77001,2481,3.1,379603,13236,3.5
2017-03-26,"PG_B3",231174,235372,-4198,-1.8,76790,70147,6643,8.7,307964,2445,0.8
2017-03-26,"PG_B4",194956,178633,16323,8.4,62256,61444,812,1.3,257212,17135,6.7
2017-03-26,"PG_B5",283221,280703,2518,0.9,109399,107471,1928,1.8,392620,4446,1.1
2017-03-19,"PG_B1",299340,288586,10754,3.6,98024,95797,2227,2.3,397364,12981,3.3
2017-03-19,"PG_B2",288573,285376,3197,1.1,73666,62278,11388,15.5,362239,14585,4
2017-03-19,"PG_B3",231236,234001,-2765,-1.2,69869,63649,6220,8.9,301105,3455,1.1
2017-03-19,"PG_B4",191356,183201,8155,4.3,59341,58414,927,1.6,250697,9082,3.6
2017-03-19,"PG_B5",283434,273310,10124,3.6,106589,104877,1712,1.6,390023,11836,3
2017-03-12,"PG_B1",312708,301259,11449,3.7,93806,91531,2275,2.4,406514,13724,3.4
2017-03-12,"PG_B2",300078,292331,7747,2.6,83014,75962,7052,8.5,383092,14799,3.9
2017-03-12,"PG_B3",244187,237474,6713,2.7,74639,68795,5844,7.8,318826,12557,3.9
2017-03-12,"PG_B4",194652,178729,15923,8.2,55846,55035,811,1.5,250498,16734,6.7
2017-03-12,"PG_B5",270195,272782,-2587,-1,107609,105802,1807,1.7,377804,-780,-0.2
2017-03-05,"PG_B1",311035,305681,5354,1.7,97136,94823,2313,2.4,408171,7667,1.9
2017-03-05,"PG_B2",286567,284021,2546,0.9,83504,81095,2409,2.9,370071,4955,1.3
2017-03-05,"PG_B3",233039,237255,-4216,-1.8,72912,68526,4386,6,305951,170,0.1
2017-03-05,"PG_B4",198855,187745,11110,5.6,64931,64018,913,1.4,263786,12023,4.6
2017-03-05,"PG_B5",276276,278039,-1763,-0.6,106805,105096,1709,1.6,383081,-54,0
2017-02-26,"PG_B1",313152,310294,2858,0.9,97561,95071,2490,2.6,410713,5348,1.3
2017-02-26,"PG_B2",303238,285872,17366,5.7,84852,82417,2435,2.9,388090,19801,5.1
2017-02-26,"PG_B3",246083,243412,2671,1.1,71941,67510,4431,6.2,318024,7102,2.2
2017-02-26,"PG_B4",195557,178053,17504,9,59365,58490,875,1.5,254922,18379,7.2
2017-02-26,"PG_B5",287444,280849,6595,2.3,108272,106630,1642,1.5,395716,8237,2.1
2017-02-19,"PG_B1",323604,309145,14459,4.5,102648,100106,2542,2.5,426252,17001,4
2017-02-19,"PG_B2",290809,282241,8568,2.9,81378,79241,2137,2.6,372187,10705,2.9
2017-02-19,"PG_B3",234315,242524,-8209,-3.5,64570,60424,4146,6.4,298885,-4063,-1.4
2017-02-19,"PG_B4",193654,183558,10096,5.2,63014,62112,902,1.4,256668,10998,4.3
2017-02-19,"PG_B5",295059,284754,10305,3.5,106732,103750,2982,2.8,401791,13287,3.3
2017-02-12,"PG_B1",314298,308630,5668,1.8,94059,91441,2618,2.8,408357,8286,2
2017-02-12,"PG_B2",299185,283051,16134,5.4,86136,83855,2281,2.6,385321,18415,4.8
2017-02-12,"PG_B3",257825,243515,14310,5.6,68339,64276,4063,5.9,326164,18373,5.6
2017-02-12,"PG_B4",235754,189378,46376,19.7,60882,60009,873,1.4,296636,47249,15.9
2017-02-12,"PG_B5",277849,282307,-4458,-1.6,104494,102729,1765,1.7,382343,-2693,-0.7
2017-02-05,"PG_B1",305965,301039,4926,1.6,100427,96586,3841,3.8,406392,8767,2.2
2017-02-05,"PG_B2",330780,282537,48243,14.6,81946,79918,2028,2.5,412726,50271,12.2
2017-02-05,"PG_B3",231348,237853,-6505,-2.8,73837,68828,5009,6.8,305185,-1496,-0.5
2017-02-05,"PG_B4",195653,191859,3794,1.9,60485,59135,1350,2.2,256138,5144,2
2017-02-05,"PG_B5",301884,296695,5189,1.7,103975,102195,1780,1.7,405859,6969,1.7
2017-01-29,"PG_B1",308552,301116,7436,2.4,104597,100100,4497,4.3,413149,11933,2.9
2017-01-29,"PG_B2",291542,278159,13383,4.6,85305,82911,2394,2.8,376847,15777,4.2
2017-01-29,"PG_B3",259819,253322,6497,2.5,75016,70129,4887,6.5,334835,11384,3.4
2017-01-29,"PG_B4",247155,199809,47346,19.2,60807,59792,1015,1.7,307962,48361,15.7
2017-01-29,"PG_B5",298966,293129,5837,2,100398,98549,1849,1.8,399364,7686,1.9
2017-01-22,"PG_B1",315312,302605,12707,4,148052,103738,44314,29.9,463364,57021,12.3
2017-01-22,"PG_B2",303459,285674,17785,5.9,82660,80150,2510,3,386119,20295,5.3
2017-01-22,"PG_B3",247979,253478,-5499,-2.2,70766,66560,4206,5.9,318745,-1293,-0.4
2017-01-22,"PG_B4",196549,195393,1156,0.6,66032,64881,1151,1.7,262581,2307,0.9
2017-01-22,"PG_B5",302294,303051,-757,-0.3,105525,103595,1930,1.8,407819,1173,0.3
2017-01-15,"PG_B1",318531,309384,9147,2.9,134985,98463,36522,27.1,453516,45669,10.1
2017-01-15,"PG_B2",317134,288037,29097,9.2,80957,78599,2358,2.9,398091,31455,7.9
2017-01-15,"PG_B3",246142,248601,-2459,-1,70727,66662,4065,5.7,316869,1606,0.5
2017-01-15,"PG_B4",201958,195466,6492,3.2,64781,63547,1234,1.9,266739,7726,2.9
2017-01-15,"PG_B5",300690,295286,5404,1.8,105492,103824,1668,1.6,406182,7072,1.7
2017-01-08,"PG_B1",323159,321094,2065,0.6,101154,96991,4163,4.1,424313,6228,1.5
2017-01-08,"PG_B2",287005,281579,5426,1.9,85708,83230,2478,2.9,372713,7904,2.1
2017-01-08,"PG_B3",253103,253315,-212,-0.1,67994,63886,4108,6,321097,3896,1.2
2017-01-08,"PG_B4",210851,202671,8180,3.9,71342,69003,2339,3.3,282193,10519,3.7
2017-01-08,"PG_B5",303844,294760,9084,3,108872,107167,1705,1.6,412716,10789,2.6
2017-01-01,"PG_B1",314851,309758,5093,1.6,93649,90369,3280,3.5,408500,8373,2
2017-01-01,"PG_B2",279567,268454,11113,4,82078,79619,2459,3,361645,13572,3.8
2017-01-01,"PG_B3",243297,243522,-225,-0.1,64355,60348,4007,6.2,307652,3782,1.2
2017-01-01,"PG_B4",218053,208678,9375,4.3,66243,64978,1265,1.9,284296,10640,3.7
2017-01-01,"PG_B5",286365,279184,7181,2.5,101292,99528,1764,1.7,387657,8945,2.3
2016-12-25,"PG_B1",287459,280902,6557,2.3,89000,85919,3081,3.5,376459,9638,2.6
2016-12-25,"PG_B2",275033,257536,17497,6.4,78694,76263,2431,3.1,353727,19928,5.6
2016-12-25,"PG_B3",243262,237354,5908,2.4,68912,64955,3957,5.7,312174,9865,3.2
2016-12-25,"PG_B4",194448,192455,1993,1,63060,61636,1424,2.3,257508,3417,1.3
2016-12-25,"PG_B5",265212,264587,625,0.2,95227,93464,1763,1.9,360439,2388,0.7
2016-12-18,"PG_B1",289965,281442,8523,2.9,98928,95841,3087,3.1,388893,11610,3
2016-12-18,"PG_B2",277557,266047,11510,4.1,76655,74346,2309,3,354212,13819,3.9
2016-12-18,"PG_B3",228681,227265,1416,0.6,61134,56346,4788,7.8,289815,6204,2.1
2016-12-18,"PG_B4",204750,197109,7641,3.7,59962,58400,1562,2.6,264712,9203,3.5
2016-12-18,"PG_B5",264443,260167,4276,1.6,101984,100303,1681,1.6,366427,5957,1.6
2016-12-11,"PG_B1",301726,297089,4637,1.5,101517,94835,6682,6.6,403243,11319,2.8
2016-12-11,"PG_B2",279960,264974,14986,5.4,81003,78742,2261,2.8,360963,17247,4.8
2016-12-11,"PG_B3",231334,231176,158,0.1,63193,59309,3884,6.1,294527,4042,1.4
2016-12-11,"PG_B4",187148,183205,3943,2.1,55666,54305,1361,2.4,242814,5304,2.2
