"","date","TotalDailyConsumption","TotalHH","DailyLPCD"
"283",2016-12-02,127412,949,134.259220231823
"284",2016-12-03,130944,949,137.981032665964
"285",2016-12-04,132133,949,139.233930453109
"286",2016-12-05,127971,949,134.848261327713
"287",2016-12-06,118865,949,125.252897787144
"288",2016-12-07,127336,949,134.179135932561
"289",2016-12-08,124273,949,130.951527924131
"290",2016-12-09,121196,949,127.709167544784
"291",2016-12-10,124298,949,130.977871443625
"292",2016-12-11,133579,949,140.757639620653
"293",2016-12-12,128186,949,135.074815595364
"294",2016-12-13,123494,949,130.130663856691
"295",2016-12-14,120350,949,126.8177028451
"296",2016-12-15,120422,949,126.893572181243
"297",2016-12-16,121100,949,127.608008429926
"298",2016-12-17,129761,949,136.734457323498
"299",2016-12-18,128572,949,135.481559536354
"300",2016-12-19,126463,949,133.259220231823
"301",2016-12-20,123520,949,130.158061116965
"302",2016-12-21,126521,949,133.32033719705
"303",2016-12-22,120837,949,127.330874604847
"304",2016-12-23,122371,949,128.947312961012
"305",2016-12-24,127688,949,134.550052687039
"306",2016-12-25,124608,949,131.304531085353
"307",2016-12-26,140558,949,148.111696522655
"308",2016-12-27,130641,949,137.661749209694
"309",2016-12-28,127175,949,134.009483667018
"310",2016-12-29,132127,949,139.22760800843
"311",2016-12-30,130561,949,137.577449947313
"312",2016-12-31,139916,949,147.435194942044
"313",2017-01-01,140494,949,148.04425711275
"314",2017-01-02,152418,949,160.609062170706
"315",2017-01-03,137331,949,144.711275026344
"316",2017-01-04,133662,949,140.845100105374
"317",2017-01-05,131502,949,138.569020021075
"318",2017-01-06,130059,949,137.048472075869
"319",2017-01-07,143158,949,150.851422550053
"320",2017-01-08,150296,949,158.373024236038
"321",2017-01-09,140618,949,148.174920969442
"322",2017-01-10,130154,949,137.148577449947
"323",2017-01-11,132945,949,140.08956796628
"324",2017-01-12,132642,949,139.770284510011
"325",2017-01-13,128663,949,135.577449947313
"326",2017-01-14,142802,949,150.476290832455
"327",2017-01-15,149084,949,157.095890410959
"328",2017-01-16,138986,949,146.45521601686
"329",2017-01-17,135033,949,142.289778714436
"330",2017-01-18,132317,949,139.427818756586
"331",2017-01-19,134241,949,141.45521601686
"332",2017-01-20,132654,949,139.782929399368
"333",2017-01-21,141220,949,148.809272918862
"334",2017-01-22,146996,949,154.895679662803
"335",2017-01-23,128789,949,135.710221285564
"336",2017-01-24,126532,949,133.331928345627
"337",2017-01-25,135036,949,142.292939936776
"338",2017-01-26,141524,949,149.129610115911
"339",2017-01-27,157262,949,165.713382507903
"340",2017-01-28,128105,949,134.989462592202
"341",2017-01-29,124359,949,131.042149631191
"342",2017-01-30,140294,949,147.833508956797
"343",2017-01-31,131101,949,138.146469968388
"344",2017-02-01,131120,949,138.166491043203
"345",2017-02-02,121050,949,127.555321390938
"346",2017-02-03,125029,949,131.748155953635
"347",2017-02-04,138654,949,146.105374077977
"348",2017-02-05,140819,949,148.386722866175
