"family_id","service_point_sn","meter_type","site","start_date","end_date","duration","min5flow_ave","severity","status","online_status","Comments"
2249,"3003505641","SUB","Yuhua",2018-03-29,2018-04-08,11,2,"Severe","Close","INACTIVE",""
2307,"3000703248","SUB","Yuhua",2018-03-12,2018-03-18,7,14,"Critical","Close","INACTIVE",""
2307,"3000703248","SUB","Yuhua",2018-03-26,2018-04-23,29,1,"Severe","Close","INACTIVE",""
2307,"3000703248","SUB","Yuhua",2018-04-27,2018-05-02,6,11,"Critical","Close","INACTIVE",""
2308,"3000704470","SUB","Yuhua",2018-03-07,2018-03-10,4,1,"Moderate","Close","INACTIVE",""
2315,"3000703260","SUB","Yuhua",2018-04-27,2018-05-01,5,1,"Severe","Close","INACTIVE",""
2317,"3000705689","SUB","Yuhua",2018-03-08,2018-03-12,5,2,"Severe","Close","INACTIVE",""
2327,"3003304361","SUB","Yuhua",2018-04-24,2018-04-28,5,57,"Critical","Close","INACTIVE",""
2328,"3003304978","SUB","Yuhua",2018-03-10,2018-03-13,4,5,"Moderate","Close","INACTIVE",""
2328,"3003304978","SUB","Yuhua",2018-04-23,2018-05-04,12,3,"Severe","Close","INACTIVE",""
2297,"3000700257","SUB","Yuhua",2018-04-04,2018-04-12,9,111,"Critical","Close","INACTIVE",""
2353,"3003306043","SUB","Yuhua",2018-03-13,2018-03-24,12,1,"Severe","Close","INACTIVE",""
2353,"3003306043","SUB","Yuhua",2018-03-27,2018-04-06,11,1,"Severe","Close","INACTIVE",""
2386,"3000726669","SUB","Yuhua",2018-05-14,2018-05-18,5,1,"Severe","Close","INACTIVE",""
117,"3004521061","SUB","Punggol",2016-04-24,2016-05-13,20,1.33,"Severe","Close","INACTIVE",""
117,"3004521061","SUB","Punggol",2016-08-22,2016-09-11,21,15.33,"Critical","Close","INACTIVE",""
117,"3004521061","SUB","Punggol",2017-04-23,2017-05-01,9,4,"Severe","Close","INACTIVE",""
94,"3004521803","SUB","Punggol",2016-03-12,2016-07-11,122,2.67,"Severe","Close","INACTIVE",""
94,"3004521803","SUB","Punggol",2016-07-19,2017-03-31,256,18.33,"Critical","Close","INACTIVE",""
94,"3004521803","SUB","Punggol",2017-05-03,2017-07-20,79,22.33,"Critical","Close","INACTIVE",""
22,"3004479606","SUB","Punggol",2018-05-06,2018-05-14,9,3.33,"Severe","Close","INACTIVE",""
33,"3004479278","SUB","Punggol",2017-05-02,2017-06-01,31,1,"Severe","Close","INACTIVE",""
33,"3004479278","SUB","Punggol",2017-06-22,2017-06-28,7,2,"Severe","Close","INACTIVE",""
46,"3004479721","SUB","Punggol",2016-03-12,2016-03-26,15,5.67,"Severe","Close","INACTIVE",""
46,"3004479721","SUB","Punggol",2016-04-03,2017-02-12,316,5,"Severe","Close","INACTIVE",""
68,"3004479091","SUB","Punggol",2016-03-09,2016-04-20,43,14.67,"Critical","Close","INACTIVE",""
1,"3004478638","SUB","Punggol",2017-10-24,2017-11-17,25,22.33,"Critical","Close","INACTIVE",""
11,"3004479870","SUB","Punggol",2017-02-26,2017-03-08,11,1,"Severe","Close","INACTIVE",""
11,"3004479870","SUB","Punggol",2017-06-25,2017-07-24,30,2,"Severe","Close","ACTIVE",""
11,"3004479870","SUB","Punggol",2017-07-27,2017-09-04,40,2.67,"Severe","Close","ACTIVE",""
16,"3004479584","SUB","Punggol",2017-12-04,2017-12-07,4,1,"Moderate","Close","ACTIVE",""
18,"3004480168","SUB","Punggol",2016-05-21,2016-05-24,4,1,"Moderate","Close","INACTIVE",""
18,"3004480168","SUB","Punggol",2016-05-27,2016-07-02,37,1.67,"Severe","Close","INACTIVE",""
111,"3004521048","SUB","Punggol",2017-02-12,2017-03-01,18,3,"Severe","Close","INACTIVE",""
111,"3004521048","SUB","Punggol",2017-10-22,2017-10-25,4,1.33,"Moderate","Close","ACTIVE",""
111,"3004521048","SUB","Punggol",2017-11-30,2017-12-04,5,4.33,"Severe","Close","ACTIVE",""
44,"3004479020","SUB","Punggol",2017-02-03,2017-02-06,4,1,"Moderate","Close","INACTIVE",""
44,"3004479020","SUB","Punggol",2017-03-14,2017-05-20,68,2.67,"Severe","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2016-10-16,2016-10-24,9,1.33,"Severe","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2016-11-07,2016-11-10,4,1.33,"Moderate","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2016-11-14,2016-11-19,6,1.33,"Severe","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2016-12-01,2017-02-25,87,2,"Severe","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2017-05-07,2017-05-10,4,1,"Moderate","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2017-05-13,2017-05-16,4,1,"Moderate","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2017-06-14,2017-06-18,5,1,"Severe","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2017-06-21,2017-06-29,9,1,"Severe","Close","INACTIVE",""
51,"3004479342","SUB","Punggol",2017-09-04,2017-09-11,8,1,"Severe","Close","ACTIVE",""
51,"3004479342","SUB","Punggol",2017-09-17,2017-10-17,31,1,"Severe","Close","ACTIVE",""
51,"3004479342","SUB","Punggol",2017-10-25,2017-11-26,33,1.33,"Severe","Close","ACTIVE",""
108,"3004521867","SUB","Punggol",2016-10-24,2016-10-29,6,18.33,"Critical","Close","INACTIVE",""
152,"3004520880","SUB","Punggol",2018-02-02,2018-02-05,4,10.33,"Severe","Close","INACTIVE",""
152,"3004520880","SUB","Punggol",2018-01-24,2018-01-29,6,8,"Severe","Close","INACTIVE",""
162,"3004522058","SUB","Punggol",2016-07-02,2016-07-08,7,1.67,"Severe","Close","INACTIVE",""
162,"3004522058","SUB","Punggol",2018-01-20,2018-01-25,6,1.67,"Severe","Close","ACTIVE",""
200,"3100249958","SUB","Punggol",2016-12-02,2016-12-07,6,102.67,"Critical","Close","INACTIVE",""
231,"3100249914","SUB","Punggol",2017-04-12,2017-04-16,5,2,"Severe","Close","INACTIVE",""
231,"3100249914","SUB","Punggol",2017-04-24,2017-05-04,11,2,"Severe","Close","INACTIVE",""
231,"3100249914","SUB","Punggol",2017-05-15,2017-05-20,6,2,"Severe","Close","INACTIVE",""
231,"3100249914","SUB","Punggol",2017-05-23,2017-07-02,41,1.33,"Severe","Close","INACTIVE",""
255,"3100249926","SUB","Punggol",2018-03-18,2018-03-30,13,4,"Severe","Close","ACTIVE",""
279,"3100249938","SUB","Punggol",2016-07-13,2016-07-20,8,3.33,"Severe","Close","INACTIVE",""
305,"3005448539","SUB","Punggol",2017-09-25,2017-09-28,4,30.67,"Severe","Close","ACTIVE",""
426,"3100159759","SUB","Punggol",2016-03-14,2016-04-22,40,5.33,"Severe","Close","INACTIVE",""
413,"3100159955","SUB","Punggol",2016-04-26,2016-05-10,15,2,"Severe","Close","INACTIVE",""
