"","service_point_sn","start_date","end_date","duration","min5flow_ave","status"
"85","3004478742","2016-04-26","2016-10-06",164,9,"Close"
"86","3004478742","2017-03-15","2017-03-24",10,2.33,"Close"
"87","3004478742","2017-04-19","2017-04-24",6,1.33,"Close"
"88","3004478742","2017-07-29","2017-08-04",7,2.67,"Close"
"89","3004478742","2017-08-14","2017-08-24",11,2.33,"Close"
"90","3004478742","2017-09-21","2017-09-28",8,4,"Close"
"91","3004478742","2017-09-03","2017-09-14",12,2.67,"Close"
"92","3004478742","2017-11-26","2017-12-23",28,1.33,"Close"
"93","3004478742","2018-01-08","2018-01-15",8,3.33,"Close"
"94","3004478742","2017-11-07","2017-11-23",17,4.67,"Close"
"95","3004478742","2018-01-18","2018-01-25",8,4.33,"Close"
"96","3004478742","2018-01-28","2018-02-07",11,19.67,"Close"
"97","3004521803","2016-03-12","2016-07-11",122,2.67,"Close"
"98","3004521803","2016-07-19","2017-03-31",256,18.33,"Close"
"99","3004521803","2017-05-03","2017-07-20",79,22.33,"Close"
"100","3004521048","2017-02-12","2017-03-01",18,3,"Close"
"101","3004521048","2017-10-22","2017-10-25",4,1.33,"Close"
"102","3004521048","2017-11-30","2017-12-04",5,4.33,"Close"
"103","3004521061","2016-04-24","2016-05-13",20,1.33,"Close"
"104","3004521061","2016-08-22","2016-09-11",21,15.33,"Close"
"105","3004521061","2017-04-23","2017-05-01",9,4,"Close"
"106","3004478638","2017-10-24","2017-11-17",25,22.33,"Close"
"107","3004479870","2017-02-26","2017-03-08",11,1,"Close"
"108","3004479870","2017-06-25","2017-07-24",30,2,"Close"
"109","3004479870","2017-07-27","2017-09-04",40,2.67,"Close"
"110","3004479584","2017-12-04","2017-12-07",4,1,"Close"
"111","3004480168","2016-05-21","2016-05-24",4,1,"Close"
"112","3004480168","2016-05-27","2016-07-02",37,1.67,"Close"
"113","3004479278","2017-05-02","2017-06-01",31,1,"Close"
"114","3004479278","2017-06-22","2017-06-28",7,2,"Close"
"115","3004479927","2016-12-31","2017-01-05",6,3,"Close"
"116","3004479927","2017-02-08","2017-02-14",7,1,"Close"
"117","3004479927","2017-02-18","2017-02-22",5,2,"Close"
"118","3004479927","2017-03-04","2017-03-13",10,2,"Close"
"119","3004479927","2017-04-03","2017-04-06",4,1,"Close"
"120","3004479927","2017-06-24","2017-06-29",6,1,"Close"
"121","3004479020","2017-02-03","2017-02-06",4,1,"Close"
"122","3004479020","2017-03-14","2017-05-20",68,2.67,"Close"
"123","3004479721","2016-03-12","2016-03-26",15,5.67,"Close"
"124","3004479721","2016-04-03","2017-02-12",316,5,"Close"
