"","id_service_point","date","MinCons_60"
"712",625,2018-05-10,0
"713",625,2018-05-11,4
"714",625,2018-05-15,0
"715",625,2018-05-17,0
"716",625,2018-05-18,4
"717",625,2018-05-20,0
"718",625,2018-05-23,0
"719",625,2018-05-24,1
"720",625,2018-05-28,0
"721",625,2018-05-29,0
"722",625,2018-05-30,0
"723",625,2018-05-31,0
"724",625,2018-06-01,0
"725",625,2018-06-02,0
"726",625,2018-06-03,0
"727",626,2018-04-01,0
"728",626,2018-04-02,0
"729",626,2018-04-03,0
"730",626,2018-04-04,0
"731",626,2018-04-05,0
"732",626,2018-04-06,0
"733",626,2018-04-07,0
"734",626,2018-04-10,0
"735",626,2018-04-11,0
"736",626,2018-04-12,0
"737",626,2018-04-13,0
"738",626,2018-04-14,0
"739",626,2018-04-15,0
"740",626,2018-04-16,0
"741",626,2018-04-17,0
"742",626,2018-04-18,2
"743",626,2018-04-19,0
"744",626,2018-04-20,0
"745",626,2018-04-21,0
"746",626,2018-04-22,0
"747",626,2018-04-23,0
"748",626,2018-04-24,0
"749",626,2018-04-25,0
"750",626,2018-04-26,0
"751",626,2018-04-27,0
"752",626,2018-04-28,0
"753",626,2018-04-29,0
"754",626,2018-04-30,0
"755",626,2018-05-01,0
"756",626,2018-05-02,0
"757",626,2018-05-03,0
"758",626,2018-05-04,0
"759",626,2018-05-05,0
"760",626,2018-05-06,0
"761",626,2018-05-07,0
"762",626,2018-05-08,0
"763",626,2018-05-09,0
"764",626,2018-05-10,0
"765",626,2018-05-11,0
"766",626,2018-05-12,0
"767",626,2018-05-13,0
"768",626,2018-05-14,0
"769",626,2018-05-15,0
"770",626,2018-05-16,0
"771",626,2018-05-17,0
"772",626,2018-05-18,0
"773",626,2018-05-19,0
"774",626,2018-05-20,0
"775",626,2018-05-21,0
"776",626,2018-05-22,0
"777",626,2018-05-23,0
"778",626,2018-05-24,19
"779",626,2018-05-25,0
"780",626,2018-05-26,0
"781",626,2018-05-27,0
"782",626,2018-05-28,0
"783",626,2018-05-29,0
"784",626,2018-05-30,0
"785",626,2018-05-31,0
"786",626,2018-06-01,0
"787",626,2018-06-02,0
"788",626,2018-06-03,0
"789",627,2018-04-01,0
"790",627,2018-04-02,0
"791",627,2018-04-03,0
"792",627,2018-04-04,0
"793",627,2018-04-05,0
"794",627,2018-04-07,0
"795",627,2018-04-08,0
"796",627,2018-04-09,0
"797",627,2018-04-10,0
"798",627,2018-04-11,0
"799",627,2018-04-12,0
"800",627,2018-04-13,0
"801",627,2018-04-16,0
"802",627,2018-04-18,0
"803",627,2018-04-19,0
"804",627,2018-04-20,0
"805",627,2018-04-22,0
"806",627,2018-04-23,0
"807",627,2018-04-24,0
"808",627,2018-04-25,0
"809",627,2018-04-26,0
"810",627,2018-04-27,0
"811",627,2018-04-28,0
"812",627,2018-04-29,0
"813",627,2018-04-30,0
"814",627,2018-05-01,0
"815",627,2018-05-02,0
"816",627,2018-05-03,0
"817",627,2018-05-04,0
"818",627,2018-05-05,0
"819",627,2018-05-06,0
"820",627,2018-05-07,0
"821",627,2018-05-08,0
"822",627,2018-05-09,0
"823",627,2018-05-15,0
"824",627,2018-05-16,0
"825",627,2018-05-17,0
"826",627,2018-05-18,0
"827",627,2018-05-19,0
"828",627,2018-05-20,0
"829",627,2018-05-21,0
"830",627,2018-05-22,0
"831",627,2018-05-24,0
"832",627,2018-05-25,0
"833",627,2018-05-27,0
"834",627,2018-06-03,0
"835",628,2018-04-01,0
"836",628,2018-04-02,0
"837",628,2018-04-03,0
"838",628,2018-04-04,0
"839",628,2018-04-05,69
"840",628,2018-04-06,0
"841",628,2018-04-07,0
"842",628,2018-04-08,0
"843",628,2018-04-17,0
"844",628,2018-04-19,0
"845",628,2018-04-29,0
"846",628,2018-04-30,0
"847",628,2018-05-01,0
"848",628,2018-05-02,0
"849",628,2018-05-03,0
"850",628,2018-05-04,0
