"","id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
"1298",1398,"S02",2351,"SUCCESS","756",2018-08-24,NA,2018-08-24 15:00:03,2018-08-29 15:00:03,"-"
"1299",1403,"S02",1862,"SUCCESS","761",2018-08-24,NA,2018-08-24 15:00:03,2018-08-29 15:00:03,"-"
"1300",1404,"S02",1872,"SUCCESS","762",2018-08-24,NA,2018-08-24 15:00:03,2018-08-29 15:00:03,"-"
"1301",1409,"S02",2383,"SUCCESS","764",2018-08-26,NA,2018-08-26 15:00:03,2018-08-29 15:00:03,"-"
"1302",1418,"S04",2115,"AVAILABLE",NA,2018-08-29,2018-11-29,2018-08-29 15:00:03,2018-08-29 15:00:03,"-"
"1303",1420,"S04",2351,"AVAILABLE",NA,2018-08-29,2018-11-29,2018-08-29 15:00:03,2018-08-29 15:00:03,"-"
"1304",1421,"S04",1862,"AVAILABLE",NA,2018-08-29,2018-11-29,2018-08-29 15:00:03,2018-08-29 15:00:03,"-"
"1305",1422,"S04",1872,"AVAILABLE",NA,2018-08-29,2018-11-29,2018-08-29 15:00:03,2018-08-29 15:00:03,"-"
"1306",1423,"S04",2383,"AVAILABLE",NA,2018-08-29,2018-11-29,2018-08-29 15:00:03,2018-08-29 15:00:03,"-"
"1307",1425,"S02",2002,"AVAILABLE","771",2018-08-29,NA,2018-08-29 15:00:03,2018-08-29 15:00:03,"-"
"1308",1426,"S02",2164,"AVAILABLE","773",2018-08-30,NA,2018-08-30 15:00:02,2018-08-30 15:00:02,"-"
"1309",1427,"S02",2352,"AVAILABLE","774",2018-08-30,NA,2018-08-30 15:00:02,2018-08-30 15:00:02,"-"
"1310",1428,"S02",1767,"AVAILABLE","775",2018-08-30,NA,2018-08-30 15:00:02,2018-08-30 15:00:02,"-"
"1311",1412,"S04",2352,"FAILED",NA,2018-08-27,2018-11-27,2018-08-27 15:00:03,2018-08-30 15:00:02,"-"
"1312",1413,"S04",2352,"FAILED",NA,2018-08-27,2018-11-27,2018-08-27 15:00:03,2018-08-30 15:00:02,"-"
"1313",1424,"S02",2263,"SUCCESS","770",2018-08-29,NA,2018-08-29 15:00:03,2018-08-31 15:00:03,"-"
"1314",1429,"S04",2278,"AVAILABLE",NA,2018-09-01,2018-12-01,2018-09-01 15:00:02,2018-09-01 15:00:02,"-"
"1315",1430,"S02",2198,"AVAILABLE","778",2018-09-01,NA,2018-09-01 15:00:02,2018-09-01 15:00:02,"-"
"1316",1431,"S02",1931,"AVAILABLE","779",2018-09-01,NA,2018-09-01 15:00:02,2018-09-01 15:00:02,"-"
"1317",1415,"S02",1907,"SUCCESS","767",2018-08-27,NA,2018-08-27 15:00:03,2018-09-02 15:00:03,"-"
"1318",1432,"S02",1948,"SUCCESS","776",2018-09-01,NA,2018-09-01 15:00:02,2018-09-02 15:00:03,"-"
"1319",1433,"S04",1923,"AVAILABLE",NA,2018-09-02,2018-12-02,2018-09-02 15:00:03,2018-09-02 15:00:03,"-"
"1320",1434,"S04",1907,"AVAILABLE",NA,2018-09-02,2018-12-02,2018-09-02 15:00:03,2018-09-02 15:00:03,"-"
"1321",1435,"S04",1948,"AVAILABLE",NA,2018-09-02,2018-12-02,2018-09-02 15:00:03,2018-09-02 15:00:03,"-"
