"id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
227,"S03",552,"FAILED",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-28 15:00:03,"-"
233,"S03",184,"FAILED",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-28 15:00:03,"-"
235,"S03",266,"FAILED",NA,2017-08-21,2017-11-21,2017-08-21 15:00:03,2017-08-28 15:00:03,"-"
239,"S03",21,"AVAILABLE",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-08-28 15:00:03,"-"
241,"S03",46,"AVAILABLE",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-08-28 15:00:03,"-"
244,"S03",1771,"AVAILABLE",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-08-28 15:00:03,"-"
245,"S03",352,"AVAILABLE",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-08-28 15:00:03,"-"
246,"S03",376,"AVAILABLE",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-08-28 15:00:03,"-"
247,"S03",371,"AVAILABLE",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-08-28 15:00:03,"-"
248,"S03",1769,"AVAILABLE",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-08-28 15:00:03,"-"
251,"S03",558,"AVAILABLE",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-08-28 15:00:03,"-"
252,"S03",184,"AVAILABLE",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-08-28 15:00:03,"-"
254,"S03",262,"AVAILABLE",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-08-28 15:00:03,"-"
255,"S04",96,"AVAILABLE",NA,2017-09-01,2017-12-01,2017-09-01 15:00:03,2017-09-01 15:00:03,"-"
207,"S03",501,"FAILED",NA,2017-07-17,2017-10-17,2017-07-17 15:38:35,2017-09-04 15:00:02,NA
240,"S03",1763,"FAILED",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-09-04 15:00:02,"-"
242,"S03",89,"FAILED",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-09-04 15:00:02,"-"
243,"S03",1791,"FAILED",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-09-04 15:00:02,"-"
249,"S03",552,"FAILED",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-09-04 15:00:02,"-"
250,"S03",505,"FAILED",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-09-04 15:00:02,"-"
253,"S03",266,"FAILED",NA,2017-08-28,2017-11-28,2017-08-28 15:00:03,2017-09-04 15:00:02,"-"
257,"S03",2,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
