"","service_point_sn","date_consumption","adjusted_consumption","is_leak"
"320","3004520911",2018-01-14 07:00:00,21,"TRUE"
"321","3004520911",2018-01-14 08:00:00,20,"TRUE"
"322","3004520911",2018-01-14 09:00:00,21,"TRUE"
"323","3004520911",2018-01-14 10:00:00,20,"TRUE"
"324","3004520911",2018-01-14 11:00:00,26,"TRUE"
"325","3004520911",2018-01-14 12:00:00,42,"TRUE"
"326","3004520911",2018-01-14 13:00:00,55,"TRUE"
"327","3004520911",2018-01-14 14:00:00,47,"TRUE"
"328","3004520911",2018-01-14 15:00:00,47,"TRUE"
"329","3004520911",2018-01-14 16:00:00,73,"TRUE"
"330","3004520911",2018-01-14 17:00:00,83,"TRUE"
"331","3004520911",2018-01-14 18:00:00,101,"TRUE"
"332","3004520911",2018-01-14 19:00:00,60,"TRUE"
"333","3004520911",2018-01-14 20:00:00,50,"TRUE"
"334","3004520911",2018-01-14 21:00:00,28,"TRUE"
"335","3004520911",2018-01-14 22:00:00,37,"TRUE"
"336","3004520911",2018-01-14 23:00:00,50,"TRUE"
"337","3004520911",2018-01-15 00:00:00,49,"TRUE"
"338","3004520911",2018-01-15 01:00:00,50,"TRUE"
"339","3004520911",2018-01-15 02:00:00,49,"TRUE"
"340","3004520911",2018-01-15 03:00:00,41,"TRUE"
"341","3004520911",2018-01-15 04:00:00,24,"TRUE"
"342","3004520911",2018-01-15 05:00:00,32,"TRUE"
"343","3004520911",2018-01-15 06:00:00,51,"TRUE"
"344","3004520911",2018-01-15 07:00:00,51,"TRUE"
"345","3004520911",2018-01-15 08:00:00,37,"TRUE"
"346","3004520911",2018-01-15 09:00:00,45,"TRUE"
"347","3004520911",2018-01-15 10:00:00,25,"TRUE"
"348","3004520911",2018-01-15 11:00:00,26,"TRUE"
"349","3004520911",2018-01-15 12:00:00,25,"TRUE"
"350","3004520911",2018-01-15 13:00:00,25,"TRUE"
"351","3004520911",2018-01-15 14:00:00,25,"TRUE"
"352","3004520911",2018-01-15 15:00:00,24,"TRUE"
"353","3004520911",2018-01-15 16:00:00,25,"TRUE"
"354","3004520911",2018-01-15 17:00:00,24,"TRUE"
"355","3004520911",2018-01-15 18:00:00,25,"TRUE"
"356","3004520911",2018-01-15 19:00:00,25,"TRUE"
"357","3004520911",2018-01-15 20:00:00,24,"TRUE"
"358","3004520911",2018-01-15 21:00:00,55,"TRUE"
"359","3004520911",2018-01-15 22:00:00,88,"TRUE"
"360","3004520911",2018-01-15 23:00:00,48,"TRUE"
"361","3004520911",2018-01-16 00:00:00,49,"TRUE"
"362","3004520911",2018-01-16 01:00:00,74,"TRUE"
"363","3004520911",2018-01-16 02:00:00,52,"TRUE"
"364","3004520911",2018-01-16 03:00:00,26,"TRUE"
"365","3004520911",2018-01-16 04:00:00,26,"TRUE"
"366","3004520911",2018-01-16 05:00:00,33,"TRUE"
"367","3004520911",2018-01-16 06:00:00,53,"TRUE"
"368","3004520911",2018-01-16 07:00:00,50,"TRUE"
"369","3004520911",2018-01-16 08:00:00,40,"TRUE"
"370","3004520911",2018-01-16 09:00:00,52,"TRUE"
"371","3004520911",2018-01-16 10:00:00,28,"TRUE"
"372","3004520911",2018-01-16 11:00:00,26,"TRUE"
"373","3004520911",2018-01-16 12:00:00,27,"TRUE"
"374","3004520911",2018-01-16 13:00:00,26,"TRUE"
"375","3004520911",2018-01-16 14:00:00,25,"TRUE"
"376","3004520911",2018-01-16 15:00:00,26,"TRUE"
"377","3004520911",2018-01-16 16:00:00,26,"TRUE"
"378","3004520911",2018-01-16 17:00:00,26,"TRUE"
"379","3004520911",2018-01-16 18:00:00,26,"TRUE"
"380","3004520911",2018-01-16 19:00:00,42,"TRUE"
"381","3004520911",2018-01-16 20:00:00,51,"TRUE"
"382","3004520911",2018-01-16 21:00:00,55,"TRUE"
"383","3004520911",2018-01-16 22:00:00,80,"TRUE"
"384","3004520911",2018-01-16 23:00:00,39,"TRUE"
"385","3004520911",2018-01-17 00:00:00,36,"TRUE"
"386","3004520911",2018-01-17 01:00:00,34,"TRUE"
"387","3004520911",2018-01-17 02:00:00,25,"TRUE"
"388","3004520911",2018-01-17 03:00:00,38,"TRUE"
"389","3004520911",2018-01-17 04:00:00,46,"TRUE"
"390","3004520911",2018-01-17 05:00:00,32,"TRUE"
"391","3004520911",2018-01-17 06:00:00,52,"TRUE"
"392","3004520911",2018-01-17 07:00:00,54,"TRUE"
"393","3004520911",2018-01-17 08:00:00,47,"TRUE"
"394","3004520911",2018-01-17 09:00:00,60,"TRUE"
"395","3004520911",2018-01-17 10:00:00,29,"TRUE"
"396","3004520911",2018-01-17 11:00:00,26,"TRUE"
"397","3004520911",2018-01-17 12:00:00,26,"TRUE"
"398","3004520911",2018-01-17 13:00:00,26,"TRUE"
"399","3004520911",2018-01-17 14:00:00,28,"TRUE"
"400","3004520911",2018-01-17 15:00:00,30,"TRUE"
"401","3004520911",2018-01-17 16:00:00,40,"TRUE"
"402","3004520911",2018-01-17 17:00:00,48,"TRUE"
"403","3004520911",2018-01-17 18:00:00,25,"TRUE"
"404","3004520911",2018-01-17 19:00:00,25,"TRUE"
"405","3004520911",2018-01-17 20:00:00,26,"TRUE"
"406","3004520911",2018-01-17 21:00:00,25,"TRUE"
"407","3004520911",2018-01-17 22:00:00,53,"TRUE"
"408","3004520911",2018-01-17 23:00:00,72,"TRUE"
"409","3004520911",2018-01-18 00:00:00,27,"TRUE"
"410","3004520911",2018-01-18 01:00:00,35,"TRUE"
"411","3004520911",2018-01-18 02:00:00,40,"TRUE"
"412","3004520911",2018-01-18 03:00:00,23,"TRUE"
"413","3004520911",2018-01-18 04:00:00,23,"TRUE"
"414","3004520911",2018-01-18 05:00:00,41,"TRUE"
"415","3004520911",2018-01-18 06:00:00,70,"TRUE"
"416","3004520911",2018-01-18 07:00:00,48,"TRUE"
"417","3004520911",2018-01-18 08:00:00,39,"TRUE"
"418","3004520911",2018-01-18 09:00:00,52,"TRUE"
"419","3004520911",2018-01-18 10:00:00,24,"TRUE"
"420","3004520911",2018-01-18 11:00:00,21,"TRUE"
"421","3004520911",2018-01-18 12:00:00,21,"TRUE"
"422","3004520911",2018-01-18 13:00:00,21,"TRUE"
"423","3004520911",2018-01-18 14:00:00,21,"TRUE"
"424","3004520911",2018-01-18 15:00:00,21,"TRUE"
"425","3004520911",2018-01-18 16:00:00,21,"TRUE"
"426","3004520911",2018-01-18 17:00:00,21,"TRUE"
"427","3004520911",2018-01-18 18:00:00,20,"TRUE"
"428","3004520911",2018-01-18 19:00:00,21,"TRUE"
"429","3004520911",2018-01-18 20:00:00,21,"TRUE"
