"","date","block","MeanCountPerHour","MeterCount","HourlyIndexReadingRate"
"252",2018-05-06,"YH_B7",17.9583333333333,18,99.77
"253",2018-05-07,"YH_B1",68.2083333333333,99,68.9
"254",2018-05-07,"YH_B2",131.375,135,97.31
"255",2018-05-07,"YH_B3",24.8333333333333,25,99.33
"256",2018-05-07,"YH_B4",61.5833333333333,90,68.43
"257",2018-05-07,"YH_B5",108.458333333333,113,95.98
"258",2018-05-07,"YH_B6",75.9166666666667,92,82.52
"259",2018-05-07,"YH_B7",17.7916666666667,18,98.84
"260",2018-05-08,"YH_B1",74.1666666666667,99,74.92
"261",2018-05-08,"YH_B2",130.958333333333,135,97.01
"262",2018-05-08,"YH_B3",24.5416666666667,25,98.17
"263",2018-05-08,"YH_B4",67.25,90,74.72
"264",2018-05-08,"YH_B5",108.5,113,96.02
"265",2018-05-08,"YH_B6",79.3333333333333,92,86.23
"266",2018-05-08,"YH_B7",17.7916666666667,18,98.84
"267",2018-05-09,"YH_B1",67.7916666666667,99,68.48
"268",2018-05-09,"YH_B2",130.041666666667,135,96.33
"269",2018-05-09,"YH_B3",24.375,25,97.5
"270",2018-05-09,"YH_B4",64.5416666666667,90,71.71
"271",2018-05-09,"YH_B5",109.333333333333,113,96.76
"272",2018-05-09,"YH_B6",72.75,92,79.08
"273",2018-05-09,"YH_B7",17.7916666666667,18,98.84
"274",2018-05-10,"YH_B1",68.0416666666667,99,68.73
"275",2018-05-10,"YH_B2",131.666666666667,135,97.53
"276",2018-05-10,"YH_B3",24.5833333333333,25,98.33
"277",2018-05-10,"YH_B4",60.375,90,67.08
"278",2018-05-10,"YH_B5",109.708333333333,113,97.09
"279",2018-05-10,"YH_B6",74.0833333333333,92,80.53
"280",2018-05-10,"YH_B7",17.9166666666667,18,99.54
"281",2018-05-11,"YH_B1",65.8333333333333,99,66.5
"282",2018-05-11,"YH_B2",130.875,135,96.94
"283",2018-05-11,"YH_B3",24.75,25,99
"284",2018-05-11,"YH_B4",61.75,90,68.61
"285",2018-05-11,"YH_B5",109.708333333333,113,97.09
"286",2018-05-11,"YH_B6",77.125,92,83.83
"287",2018-05-11,"YH_B7",17.7916666666667,18,98.84
"288",2018-05-12,"YH_B1",65.375,99,66.04
